village_code_2011,village_name_2011,state_code_2011,district_code_2011,sub_district_code_2011,village_code_2001,village_name_2001,state_code_2001,district_code_2001,sub_district_code_2001,CEN_2001
626635,Tiracol ,30,585,5609,100,Tiracol,30,1,1,3001000100000100
626636,Querim ,30,585,5609,200,Querim,30,1,1,3001000100000200
626637,Paliem ,30,585,5609,300,Paliem,30,1,1,3001000100000300
626638,Corgao ,30,585,5609,500,Corgao,30,1,1,3001000100000500
626639,Pernem ,30,585,5609,600,Pernem(Rural),30,1,1,3001000100000600
626640,Poroscodem ,30,585,5609,700,Poroscodem,30,1,1,3001000100000700
626641,Casnem ,30,585,5609,800,Casnem,30,1,1,3001000100000800
626642,Varconda ,30,585,5609,900,Varconda,30,1,1,3001000100000900
626643,Amberem ,30,585,5609,1000,Amberem,30,1,1,3001000100001000
626644,Uguem ,30,585,5609,1100,Uguem,30,1,1,3001000100001100
626645,Tamboxem ,30,585,5609,1200,Tamboxem,30,1,1,3001000100001200
626646,Torxem ,30,585,5609,1300,Torxem,30,1,1,3001000100001300
626647,Mopa ,30,585,5609,1400,Mopa,30,1,1,3001000100001400
626648,Chandel ,30,585,5609,1500,Chandel,30,1,1,3001000100001500
626649,Alorna ,30,585,5609,1600,Alorna,30,1,1,3001000100001600
626650,Ibrampur ,30,585,5609,1700,Ibrampur,30,1,1,3001000100001700
626651,Cansarvornem ,30,585,5609,1800,Cansarvornem,30,1,1,3001000100001800
626652,Ozorim ,30,585,5609,1900,Ozorim,30,1,1,3001000100001900
626653,Dargalim ,30,585,5609,2000,Dargalim,30,1,1,3001000100002000
626654,Virnora ,30,585,5609,2100,Virnora,30,1,1,3001000100002100
626655,Tuem ,30,585,5609,2200,Tuem,30,1,1,3001000100002200
626656,Chopdem ,30,585,5609,2500,Chopdem,30,1,1,3001000100002500
626657,Agarvado ,30,585,5609,2600,Agarvado,30,1,1,3001000100002600
626658,Arambol (CT),30,585,5609,400,Arambol,30,1,1,3001000100000400
626659,Mandrem (CT),30,585,5609,2300,Mandrem,30,1,1,3001000100002300
626660,Parcem (CT),30,585,5609,40102000,Parcem  (CT),30,1,1,3001000140102000
626661,Morjim (CT),30,585,5609,2400,Morgim,30,1,1,3001000100002400
626662,Oxel ,30,585,5610,2700,Oxel,30,1,2,3001000200002700
626663,Camurlim ,30,585,5610,2800,Camurlim,30,1,2,3001000200002800
626664,Revora ,30,585,5610,2900,Revora,30,1,2,3001000200002900
626665,Nadora ,30,585,5610,3000,Nadora,30,1,2,3001000200003000
626666,Pirna ,30,585,5610,3100,Pirna,30,1,2,3001000200003100
626667,Moitem ,30,585,5610,3200,Moitem,30,1,2,3001000200003200
626668,Assonora ,30,585,5610,3300,Assonora,30,1,2,3001000200003300
626669,Sircaim ,30,585,5610,3400,Sircaim,30,1,2,3001000200003400
626670,Tivim ,30,585,5610,3500,Tivim,30,1,2,3001000200003500
626671,Marna ,30,585,5610,3600,Marna,30,1,2,3001000200003600
626672,Assagao ,30,585,5610,3700,Assagao,30,1,2,3001000200003700
626673,Arpora ,30,585,5610,3900,Arpora,30,1,2,3001000200003900
626674,Nagoa ,30,585,5610,4000,Nagoa,30,1,2,3001000200004000
626675,Parra ,30,585,5610,4100,Parra,30,1,2,3001000200004100
626676,Verla ,30,585,5610,4200,Verla,30,1,2,3001000200004200
626677,Canca ,30,585,5610,4300,Canca,30,1,2,3001000200004300
626678,Bastora ,30,585,5610,4400,Bastora,30,1,2,3001000200004400
626679,Paliem ,30,585,5610,4500,Paliem,30,1,2,3001000200004500
626680,Punola ,30,585,5610,4600,Punola,30,1,2,3001000200004600
626681,Ucassaim ,30,585,5610,4700,Ucassaim,30,1,2,3001000200004700
626682,Nachinola ,30,585,5610,4900,Nachinola,30,1,2,3001000200004900
626683,Corjuem ,30,585,5610,5000,Corjuem,30,1,2,3001000200005000
626684,Ponolem ,30,585,5610,5100,Ponolem,30,1,2,3001000200005100
626685,Calvim ,30,585,5610,5200,Calvim,30,1,2,3001000200005200
626686,Olaulim ,30,585,5610,5300,Olaulim,30,1,2,3001000200005300
626687,Pomburpa ,30,585,5610,5400,Pomburpa,30,1,2,3001000200005400
626688,Sangolda ,30,585,5610,5500,Sangolda,30,1,2,3001000200005500
626689,Marra ,30,585,5610,5700,Marra,30,1,2,3001000200005700
626690,Siolim (CT),30,585,5610,40103000,Siolim  (CT),30,1,2,3001000240103000
626691,Colvale (CT),30,585,5610,40104000,Colvale (CT),30,1,2,3001000240104000
626692,Moira (CT),30,585,5610,4800,Moira,30,1,2,3001000200004800
626693,Guirim (CT),30,585,5610,40106000,Guirim  (CT),30,1,2,3001000240106000
626694,Anjuna (CT),30,585,5610,3800,Anjuna,30,1,2,3001000200003800
626695,Calangute (CT),30,585,5610,40108000,Calangute  (CT),30,1,2,3001000240108000
626696,Saligao (CT),30,585,5610,40107000,Saligao  (CT),30,1,2,3001000240107000
626697,Candolim (CT),30,585,5610,40109000,Candolim (CT),30,1,2,3001000240109000
626698,Nerul (CT),30,585,5610,5600,Nerul,30,1,2,3001000200005600
626699,Reis Magos (CT),30,585,5610,40110000,Reis Magos  (CT),30,1,2,3001000240110000
626700,Pilerne (CT),30,585,5610,5800,Pilerne,30,1,2,3001000200005800
626701,Penha-de-Franca (CT),30,585,5610,40111000,Penha-de-Franca  (CT),30,1,2,3001000240111000
626702,Salvador do Mundo (CT),30,585,5610,5900,Salvador do Mundo,30,1,2,3001000200005900
626703,Socorro (CT),30,585,5610,40112000,Socorro (Serula)  (CT),30,1,2,3001000240112000
626704,Aldona (CT),30,585,5610,40113000,Aldona  (CT),30,1,2,3001000240113000
626705,Ambarim ,30,585,5611,6000,Ambarim,30,1,3,3001000300006000
626706,Chorao ,30,585,5611,6100,Chorao,30,1,3,3001000300006100
626707,Caraim ,30,585,5611,6200,Caraim,30,1,3,3001000300006200
626708,Capao ,30,585,5611,6300,Capao,30,1,3,3001000300006300
626709,Navelim ,30,585,5611,6400,Navelim,30,1,3,3001000300006400
626710,Goltim ,30,585,5611,6500,Goltim,30,1,3,3001000300006500
626711,Malar ,30,585,5611,6600,Malar,30,1,3,3001000300006600
626712,Naroa ,30,585,5611,6700,Naroa,30,1,3,3001000300006700
626713,Gandaulim ,30,585,5611,7000,Gandaulim,30,1,3,3001000300007000
626714,Ella ,30,585,5611,7200,Ella,30,1,3,3001000300007200
626715,Bainguinim ,30,585,5611,7300,Bainguinim,30,1,3,3001000300007300
626716,Talaulim ,30,585,5611,7400,Talaulim,30,1,3,3001000300007400
626717,Goalim Moula ,30,585,5611,7500,Goalim Moula,30,1,3,3001000300007500
626718,Carambolim ,30,585,5611,7600,Carambolim,30,1,3,3001000300007600
626719,Azossim ,30,585,5611,7700,Azossim,30,1,3,3001000300007700
626720,Mandur ,30,585,5611,7800,Mandur,30,1,3,3001000300007800
626721,Gancim ,30,585,5611,7900,Gancim,30,1,3,3001000300007900
626722,Batim ,30,585,5611,8000,Batim,30,1,3,3001000300008000
626723,Curca ,30,585,5611,8100,Curca,30,1,3,3001000300008100
626724,Siridao ,30,585,5611,8200,Siridao,30,1,3,3001000300008200
626725,Neura-O-Pequeno ,30,585,5611,8300,Neura-O-Pequeno,30,1,3,3001000300008300
626726,Neura-O-Grande ,30,585,5611,8400,Neura-O-Grande,30,1,3,3001000300008400
626727,Jua (CT),30,585,5611,6800,Jua,30,1,3,3001000300006800
626728,Cumbarjua (CT),30,585,5611,6900,Cumbarjua,30,1,3,3001000300006900
626729,Corlim (CT),30,585,5611,7100,Corlim,30,1,3,3001000300007100
626730,Chimbel (CT),30,585,5611,40119000,Chimbel  (CT),30,1,3,3001000340119000
626731,Murda (CT),30,585,5611,40120000,Murda  (OG),30,1,3,3001000340120000
626732,Calapor (CT),30,585,5611,40121000,Calapor  (CT),30,1,3,3001000340121000
626733,Bambolim (CT),30,585,5611,40122000,Bambolim  (CT),30,1,3,3001000340122000
626734,Goa Velha (CT),30,585,5611,40123000,Goa Velha (CT),30,1,3,3001000340123000
626735,Mercurim (CT),30,585,5611,8500,Mercurim,30,1,3,3001000300008500
626736,Panelim (OG),30,585,5611,40120000,Panelim  (OG),30,1,3,3001000340120000
626737,Morambi-O-Grande (Merces) (OG),30,585,5611,40120000,Morambi-O-Grande(Merces)  (OG),30,1,3,3001000340120000
626738,Renovadi (OG),30,585,5611,40120000,Renovadi  (OG),30,1,3,3001000340120000
626739,Morambi-O-Pequeno (Merces) (OG),30,585,5611,40120000,Morambi-O-Pequeno(Merces) (OG),30,1,3,3001000340120000
626740,Cujira (OG),30,585,5611,40120000,Cujira  (OG),30,1,3,3001000340120000
645598,Taleigao (OG) (Part),30,585,5611,,,30,1,3,
645599,Durgawadi (OG) (Part),30,585,5611,,,30,1,3,
626741,Mencurem ,30,585,5612,8600,Mencurem,30,1,4,3001000400008600
626742,Dumacem ,30,585,5612,8700,Dumacem,30,1,4,3001000400008700
626743,Salem ,30,585,5612,8800,Salem,30,1,4,3001000400008800
626744,Latambarcem ,30,585,5612,8900,Latambarcem,30,1,4,3001000400008900
626745,Adwalpale ,30,585,5612,9000,Adwalpale,30,1,4,3001000400009000
626746,Sirigao ,30,585,5612,9100,Sirigao,30,1,4,3001000400009100
626747,Mulgao ,30,585,5612,9200,Mulgao,30,1,4,3001000400009200
626748,Ona ,30,585,5612,9300,Ona,30,1,4,3001000400009300
626749,Maulinguem North ,30,585,5612,9400,Maulinguem North,30,1,4,3001000400009400
626750,Curchirem ,30,585,5612,9500,Curchirem,30,1,4,3001000400009500
626751,Sarvona ,30,585,5612,9600,Sarvona,30,1,4,3001000400009600
626752,Maem ,30,585,5612,9700,Maem,30,1,4,3001000400009700
626753,Vainguinim ,30,585,5612,9800,Vainguinim,30,1,4,3001000400009800
626754,Aturli ,30,585,5612,9900,Aturli,30,1,4,3001000400009900
626755,Naroa ,30,585,5612,10000,Naroa,30,1,4,3001000400010000
626756,Piligao ,30,585,5612,10100,Piligao,30,1,4,3001000400010100
626757,Cudnem ,30,585,5612,10200,Cudnem,30,1,4,3001000400010200
626758,Amone ,30,585,5612,10300,Amone,30,1,4,3001000400010300
626759,Navelim ,30,585,5612,10400,Navelim,30,1,4,3001000400010400
626760,Cotombi ,30,585,5612,10500,Cotombi,30,1,4,3001000400010500
626761,Surla ,30,585,5612,10600,Surla,30,1,4,3001000400010600
626762,Velguem ,30,585,5612,10700,Velguem,30,1,4,3001000400010700
626763,Carapur (CT),30,585,5612,40115000,Carapur  (CT),30,1,4,3001000440115000
626764,Pale (CT),30,585,5612,40118000,Pale (CT),30,1,4,3001000440118000
626765,Podocem ,30,585,5613,10800,Podocem,30,1,5,3001000500010800
626766,Poriem ,30,585,5613,10900,Poriem,30,1,5,3001000500010900
626767,Ravona ,30,585,5613,11000,Ravona,30,1,5,3001000500011000
626768,Gonteli ,30,585,5613,11100,Gonteli,30,1,5,3001000500011100
626769,Siroli ,30,585,5613,11200,Siroli,30,1,5,3001000500011200
626770,Anjunem ,30,585,5613,11300,Anjunem,30,1,5,3001000500011300
626771,Quelaudem ,30,585,5613,11400,Quelaudem,30,1,5,3001000500011400
626772,Ponsuli ,30,585,5613,11500,Ponsuli,30,1,5,3001000500011500
626773,Choraundem ,30,585,5613,11600,Choraundem,30,1,5,3001000500011600
626774,Ivrem-Buzruco ,30,585,5613,11700,Ivrem-Buzruco,30,1,5,3001000500011700
626775,Ivrem-Curdo ,30,585,5613,11800,Ivrem-Curdo,30,1,5,3001000500011800
626776,Golauli ,30,585,5613,11900,Golauli,30,1,5,3001000500011900
626777,Surla ,30,585,5613,12000,Surla,30,1,5,3001000500012000
626778,Satrem ,30,585,5613,12100,Satrem,30,1,5,3001000500012100
626779,Derodem ,30,585,5613,12200,Derodem,30,1,5,3001000500012200
626780,Codal ,30,585,5613,12300,Codal,30,1,5,3001000500012300
626781,Rivem ,30,585,5613,12400,Rivem,30,1,5,3001000500012400
626782,Dongurli ,30,585,5613,12500,Dongurli,30,1,5,3001000500012500
626783,Pale ,30,585,5613,12600,Pale,30,1,5,3001000500012600
626784,Gululem ,30,585,5613,12700,Gululem,30,1,5,3001000500012700
626785,Querim ,30,585,5613,12800,Querim,30,1,5,3001000500012800
626786,Morlem ,30,585,5613,12900,Morlem,30,1,5,3001000500012900
626787,Saleli ,30,585,5613,13100,Saleli,30,1,5,3001000500013100
626788,Zormen ,30,585,5613,13200,Zormen,30,1,5,3001000500013200
626789,Dabem ,30,585,5613,13300,Dabem,30,1,5,3001000500013300
626790,Compordem ,30,585,5613,13400,Compordem,30,1,5,3001000500013400
626791,Edorem ,30,585,5613,13500,Edorem,30,1,5,3001000500013500
626792,Naneli ,30,585,5613,13600,Naneli,30,1,5,3001000500013600
626793,Carambolim- Brama ,30,585,5613,13700,Carambolim-Brama,30,1,5,3001000500013700
626794,Xelopo-Buzruco ,30,585,5613,13800,Xelopo-Buzruco,30,1,5,3001000500013800
626795,Sigonem ,30,585,5613,13900,Sigonem,30,1,5,3001000500013900
626796,Maloli ,30,585,5613,14000,Maloli,30,1,5,3001000500014000
626797,Nanorem ,30,585,5613,14100,Nanorem,30,1,5,3001000500014100
626798,Vainguinim ,30,585,5613,14200,Vainguinim,30,1,5,3001000500014200
626799,Zarani ,30,585,5613,14300,Zarani,30,1,5,3001000500014300
626800,Ustem ,30,585,5613,14400,Ustem,30,1,5,3001000500014400
626801,Davem ,30,585,5613,14500,Davem,30,1,5,3001000500014500
626802,Bombedem ,30,585,5613,14600,Bombedem,30,1,5,3001000500014600
626803,Ambedem ,30,585,5613,14700,Ambedem,30,1,5,3001000500014700
626804,Nagargao ,30,585,5613,14800,Nagargao,30,1,5,3001000500014800
626805,Satorem ,30,585,5613,14900,Satorem,30,1,5,3001000500014900
626806,Mauzi ,30,585,5613,15000,Mauzi,30,1,5,3001000500015000
626807,Buimpal ,30,585,5613,15100,Buimpal,30,1,5,3001000500015100
626808,Cumarconda ,30,585,5613,15200,Cumarconda,30,1,5,3001000500015200
626809,Pissurlem ,30,585,5613,15300,Pissurlem,30,1,5,3001000500015300
626810,Sonus-Vonvoliem ,30,585,5613,15400,Sonus-Vonvoliem,30,1,5,3001000500015400
626811,Vaguriem ,30,585,5613,15500,Vaguriem,30,1,5,3001000500015500
626812,Codiem ,30,585,5613,15600,Codiem,30,1,5,3001000500015600
626813,Naguem ,30,585,5613,15700,Naguem,30,1,5,3001000500015700
626814,Ansolem ,30,585,5613,15800,Ansolem,30,1,5,3001000500015800
626815,Cudcem ,30,585,5613,15900,Cudcem,30,1,5,3001000500015900
626816,Sanvordem ,30,585,5613,16000,Sanvordem,30,1,5,3001000500016000
626817,Sonal ,30,585,5613,16100,Sonal,30,1,5,3001000500016100
626818,Codvol ,30,585,5613,16200,Codvol,30,1,5,3001000500016200
626819,Pendral ,30,585,5613,16300,Pendral,30,1,5,3001000500016300
626820,Caranzol ,30,585,5613,16400,Caranzol,30,1,5,3001000500016400
626821,Carambolim-Bozruco ,30,585,5613,16500,Carambolim-Buzruco,30,1,5,3001000500016500
626822,Velguem ,30,585,5613,16600,Velguem,30,1,5,3001000500016600
626823,Codqui ,30,585,5613,16700,Codqui,30,1,5,3001000500016700
626824,Sanvorcem ,30,585,5613,16800,Sanvorcem,30,1,5,3001000500016800
626825,Advoi ,30,585,5613,16900,Advoi,30,1,5,3001000500016900
626826,Ponocem ,30,585,5613,17000,Ponocem,30,1,5,3001000500017000
626827,Vantem ,30,585,5613,17100,Vantem,30,1,5,3001000500017100
